106380,10002,duplicate-edition,"LOCG's #1-4 sits on both the 105pp ""Year One TPB"" and the 103pp ""Judge Dredd v03"", covering 215 files each"
106378,10002,arithmetic-odd,"LOCG's #312-373 on the 100pp ""Judge Dredd v04 - 13 Badges"" is 1.6 pages per claimed issue and covers 45 files; the record it comes from is the single comic ""Judge Dredd #13"""
70352,100132,conflated-series,six Superboy runs under one Series id; the live LOCG span #13-259 on Vol. 02 covers 169 issue files
72577,100136,issue-numbers-wrong,"""Superman 001 (Director's Cut) (2014)"" 51pp is the Director's Cut special, stored as #1; Vol. 01 (#1-6) will nest it, but it is not in that book"
72578,100136,issue-numbers-wrong,"""Superman v3 023.1 Bizarro"" (Villains Month) is stored as #23; Vol. 04 (#18-24) will nest it, but Psi War's p3 names no 23.x issue"
72579,100136,issue-numbers-wrong,"""Superman v3 023.2 Brainiac"" stored as #23; nests under Vol. 04 (#18-24) wrongly"
72580,100136,issue-numbers-wrong,"""Superman v3 023.3 H'el"" stored as #23; nests under Vol. 04 (#18-24) wrongly"
72581,100136,issue-numbers-wrong,"""Superman v3 023.4 Parasite"" stored as #23; nests under Vol. 04 (#18-24) wrongly"
18487,100136,issue-numbers-wrong,"""Superman 023.1"" (Villains Month, stored 23.1) falls numerically inside Vol. 04's #18-24 but is not in Psi War"
18450,100136,issue-numbers-wrong,"""Superman 023.2"" (stored 23.2) falls inside Vol. 04's #18-24 but is not in Psi War"
18467,100136,issue-numbers-wrong,"""Superman 023.3"" (stored 23.3) falls inside Vol. 04's #18-24 but is not in Psi War"
30887,10020,provider-disagrees,ComicVine's #5-8 on this item is quoted from its 'Volume 2' record and covers all four issue files on the shelf
10196,10095,issue-numbers-wrong,"""Just Beyond - Monstrosity Free Comic Book Day Special 2021"" is stored as issue #2021, the year, not an issue number (§14.10)"
10105,10105,conflated-series,"New 52 mobile rips, the 2011 run and the Darkseid War chronology tree share this shelf"
66855,10105,provider-disagrees,GCD's #40-44 is Justice League 3000's coordinate; on this shelf it took five Darkseid War issues
66856,10105,provider-disagrees,GCD's #45-50 is Justice League 3000's coordinate; on this shelf it took six Darkseid War issues
101296,101296,conflated-series,a Venom v4 annual shares the coordinate #1 with the ongoing's first issue
67442,10146,provider-disagrees,"LOCG claims #11-40, thirty issues in a 143pp digest, overlapping both other books"
67443,10146,provider-disagrees,"LOCG claims #9-34, the hull of a list that is really JLU 9 and 19 plus three League Adventures issues; it was nesting twenty files"
10146,10146,conflated-series,"the 2004 series and the 2025 relaunch share this shelf, and the 2025 variant covers carry a #4-6 span"
67472,10184,duplicate-edition,"a second rip of the Justice League vs. Suicide Squad trade (item 67996), filed as Justice League Vol. 03.5"
102026,102026,conflated-series,"three Magnus, Robot Fighter series number from #1 on this shelf"
21290,102026,duplicate-edition,"the same Vol. 02 rip as 14498, filed twice"
21289,102026,provider-disagrees,"LOCG's #1-4 is the 2014 relaunch's range and covered eight files, most of them Valiant issues"
57988,102074,conflated-series,three Night Force runs numbering from #1 under one Series id; the live LOCG span #1-14 covers all nineteen issue files
97025,102366,conflated-series,three Thunderbolts runs numbering from #1 with three collection lines reusing the ordinals; GCD's #1-6 on the 2016 v01 reaches six files
84644,102386,conflated-series,the 1994 and 2017 runs both number from #1 and the 1994 issues are filed twice; GCD's #1-6 on the 2017 Vol. 01 reaches 18 files
108771,10239,conflated-series,every Kaijumax season numbers from #1 under this one Series id; the live LOCG #1-6 on Book 02 covers all five issue files
104730,10310,conflated-series,Kick-Ass (2018) #1-8 and Kick-Ass vs Hit-Girl #1-5 are one Series id; LOCG #1-8 covers all 14 files and ComicVine #1-6 covers 12
10210,10500,provider-disagrees,LOCG's #9-12 on Vol. 02 is the third volume's range and covers four of the five issue files on the shelf
62894,10668,duplicate-edition,second rip of 62847 Jim Aparo Vol. 01 (513pp both)
62896,10668,duplicate-edition,second rip of 62849 Jim Aparo Vol. 03 (548pp both)
10812,10812,conflated-series,a Dynamite series and a Hideshi Hino manga folder share this shelf
14964,10839,provider-disagrees,"no provider has a span for Vol. 05 at all; the range is settled by the volume title naming its two arcs, plus the 21pp-of-matter figure that holds across all six trades in this folder"
99995,11146,conflated-series,the 1978 nineteen-issue run and the 1984 four-issue mini are one Series id; the collection covers both and #1-4 here cannot say which
30978,11193,conflated-series,"Magic: The Gathering (2012), The Spell Thief, Path of Vengeance, Theros and Chandra all number #1-4 under one Series id"
43652,11289,label-ambiguous,"chapter 153 is on no volume of this shelf: v14's last chapter file is c152 and v15's first is c154, whose printed divider reads `Chapter 154 - On the Night the Stars Fall Upon (1)`. Both books are claimed only to what they hold, so 153 sits in no range"
101988,11370,provider-disagrees,"LOCG claims #1-3 on a 1163-page omnibus, which holds twenty-five or more of these"
100734,11417,label-ambiguous,"a 67pp original graphic novel flagged IsCollection; it is entry 061 of the Marvel Graphic Novel line, not a collection"
100734,11417,arithmetic-odd,"live LOCG span #1-519 on a 67pp book, covering 22 issue files, quoted from the Black Widow Epic Collection record"
11441,11441,conflated-series,"Marvel Knights 4, Double Shot, Captain America v4, Marvel Boy and the 2000 series share this shelf"
100827,11441,provider-disagrees,LOCG's #1-15 is the 2000 series' range and covered three files from other comics
116374,11582,provider-disagrees,"LOCG claims #1-341 on the collection of a twelve-issue event, against ComicVine's #1-12"
11675,11675,conflated-series,the 2006 original and the 2008 sequel both number from #1 here
101577,11675,provider-disagrees,LOCG's #1-5 is the 2006 series' range and was covering Marvel Zombies 3's issues
27690,11831,conflated-series,two He-Man runs numbering from #1 share this Series id; LOCG's #1-47 covers all eight held files
7615,11888,provider-disagrees,LOCG says #2-2 and ComicVine says #24-25 on the book that opens the series
7611,11888,span-retracted,the issue file Mega Man 052 carries a collected-edition span of #50-53; a single issue is not a collected edition
